Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	HSI Index (Hong Kong Hang Seng Index) - #Ticks	SMAVG (15)
2017-02-01 15:55:00	23259.83	23280.65	23248.15	23274.91	23209.40	23246.76	23241.85	150	150
2017-02-01 15:50:00	23255.70	23270.30	23254.47	23263.28	23206.72	23247.83	23240.35	150	150
2017-02-01 15:45:00	23266.54	23276.65	23248.96	23262.63	23204.55	23248.99	23238.92	150	150
2017-02-01 15:40:00	23275.77	23280.49	23264.46	23264.46	23202.10	23250.00	23237.52	150	150
2017-02-01 15:35:00	23287.20	23289.37	23274.88	23276.71	23199.25	23250.89	23236.13	150	150
2017-02-01 15:30:00	23277.89	23290.20	23271.41	23284.94	23196.40	23251.70	23234.70	150	150
2017-02-01 15:25:00	23264.83	23277.43	23262.57	23277.43	23193.45	23252.44	23233.24	150	150
2017-02-01 15:20:00	23269.58	23273.37	23259.15	23264.48	23190.59	23253.27	23231.81	150	150
2017-02-01 15:15:00	23264.11	23273.87	23255.53	23271.94	23188.08	23254.21	23230.46	150	150
2017-02-01 15:10:00	23267.22	23276.30	23257.89	23264.11	23184.36	23255.09	23229.09	150	150
2017-02-01 15:05:00	23263.50	23275.18	23261.49	23268.01	23180.96	23255.99	23227.76	150	150
2017-02-01 15:00:00	23261.69	23275.30	23253.09	23260.56	23177.62	23256.89	23226.42	150	150
2017-02-01 14:55:00	23256.13	23281.96	23254.47	23262.05	23174.74	23257.84	23225.13	150	150
2017-02-01 14:50:00	23283.94	23289.34	23257.91	23258.85	23171.83	23258.76	23223.83	150	150
2017-02-01 14:45:00	23278.56	23288.60	23273.49	23282.48	23169.71	23259.72	23222.49	150	150
2017-02-01 14:40:00	23242.01	23280.53	23231.68	23279.86	23167.94	23260.43	23221.06	150	150
2017-02-01 14:35:00	23202.92	23245.27	23201.79	23240.95	23166.35	23261.20	23219.62	150	150
2017-02-01 14:30:00	23205.04	23211.74	23191.13	23202.58	23165.77	23262.40	23218.30	150	150
2017-02-01 14:25:00	23203.23	23214.80	23199.15	23205.11	23165.96	23264.01	23217.16	150	150
2017-02-01 14:20:00	23191.54	23206.62	23182.83	23203.59	23169.51	23265.57	23215.98	150	150
2017-02-01 14:15:00	23187.88	23202.02	23183.95	23189.28	23173.10	23267.21	23215.00	150	150
2017-02-01 14:10:00	23186.43	23196.89	23182.37	23191.01	23176.94	23269.03	23214.12	150	150
2017-02-01 14:05:00	23191.75	23198.24	23182.72	23184.42	23180.60	23270.92	23213.30	150	150
2017-02-01 14:00:00	23200.06	23203.20	23188.82	23194.31	23184.62	23272.88	23212.51	150	150
2017-02-01 13:55:00	23174.79	23202.06	23168.77	23198.84	23188.32	23274.68	23211.70	150	150
2017-02-01 13:50:00	23171.78	23184.54	23171.58	23173.36	23191.88	23276.38	23210.91	150	150
2017-02-01 13:45:00	23172.41	23180.84	23164.77	23170.98	23195.86	23278.25	23210.20	150	150
2017-02-01 13:40:00	23184.38	23186.61	23173.60	23173.65	23200.06	23280.07	23209.45	150	150
2017-02-01 13:35:00	23158.38	23191.70	23157.15	23184.02	23204.13	23281.96	23208.68	150	150
2017-02-01 13:30:00	23190.46	23193.30	23157.08	23158.92	23208.22	23283.75	23207.85	150	150
2017-02-01 13:25:00	23186.89	23197.79	23180.88	23190.46	23212.70	23285.75	23207.17	150	150
2017-02-01 13:20:00	23208.97	23210.67	23185.64	23187.15	23216.58	23287.42	23206.30	150	150
2017-02-01 13:15:00	23205.92	23211.60	23199.65	23205.29	23220.56	23289.18	23205.51	150	150
2017-02-01 13:10:00	23197.86	23206.70	23187.68	23206.70	23223.67	23290.86	23204.60	150	150
2017-02-01 13:05:00	23200.58	23201.02	23184.73	23199.04	23226.56	23292.51	23203.67	150	150
2017-02-01 13:00:00	23200.33	23201.63	23188.29	23201.63	23229.82	23294.21	23203.01	150	150
2017-02-01 11:55:00	23195.14	23201.96	23188.83	23195.23	23232.47	23295.84	23202.33	150	150
2017-02-01 11:50:00	23190.87	23199.99	23184.39	23191.18	23235.42	23297.49	23201.03	150	150
2017-02-01 11:45:00	23185.13	23197.03	23181.76	23189.09	23238.53	23299.20	23199.76	150	150
2017-02-01 11:40:00	23183.56	23199.44	23174.15	23185.70	23241.64	23300.96	23198.54	150	150
2017-02-01 11:35:00	23195.66	23196.67	23174.62	23181.21	23244.77	23302.73	23197.28	150	150
2017-02-01 11:30:00	23193.51	23205.17	23192.61	23195.46	23248.29	23304.53	23196.03	150	150
2017-02-01 11:25:00	23147.40	23198.60	23141.30	23192.42	23251.46	23306.13	23194.72	150	150
2017-02-01 11:20:00	23145.17	23152.96	23135.22	23145.14	23254.74	23307.74	23193.48	150	150
2017-02-01 11:15:00	23142.61	23158.30	23139.16	23144.95	23259.00	23309.75	23192.42	150	150
2017-02-01 11:10:00	23125.56	23145.93	23117.46	23145.93	23263.10	23311.86	23191.39	150	150
2017-02-01 11:05:00	23131.50	23137.02	23120.45	23126.28	23267.10	23314.01	23190.42	150	150
2017-02-01 11:00:00	23133.13	23135.24	23124.27	23130.51	23271.67	23316.35	23189.62	150	150
2017-02-01 10:55:00	23135.48	23139.39	23127.10	23133.65	23275.94	23318.58	23188.75	150	150
2017-02-01 10:50:00	23138.59	23145.45	23128.40	23135.41	23280.05	23320.77	23187.89	150	150
2017-02-01 10:45:00	23155.31	23157.75	23138.00	23140.95	23284.12	23322.86	23187.05	150	150
2017-02-01 10:40:00	23140.62	23154.51	23137.95	23154.51	23288.94	23324.86	23186.14	150	150
2017-02-01 10:35:00	23121.99	23144.74	23121.99	23140.34	23293.43	23326.65	23185.16	150	150
2017-02-01 10:30:00	23133.83	23136.79	23114.61	23121.99	23297.90	23328.54	23184.25	150	149
2017-02-01 10:25:00	23137.65	23143.02	23128.50	23133.95	23302.52	23330.76	23183.44	150	149
2017-02-01 10:20:00	23134.09	23141.67	23129.35	23137.65	23306.99	23332.98	23182.55	150	149
2017-02-01 10:15:00	23140.73	23140.73	23122.41	23134.34	23311.44	23335.18	23181.60	150	149
2017-02-01 10:10:00	23087.94	23139.44	23086.41	23138.75	23315.95	23337.29	23180.62	150	149
2017-02-01 10:05:00	23091.51	23102.68	23082.62	23086.09	23320.36	23339.27	23179.63	150	149
2017-02-01 10:00:00	23104.35	23116.21	23087.84	23094.05	23325.83	23341.81	23178.89	150	149
2017-02-01 09:55:00	23118.78	23122.33	23098.12	23100.91	23331.02	23344.22	23178.31	150	149
2017-02-01 09:50:00	23117.16	23128.32	23108.58	23116.86	23336.17	23346.11	23177.71	150	149
2017-02-01 09:45:00	23145.74	23145.74	23112.03	23116.36	23340.95	23347.74	23177.01	150	149
2017-02-01 09:40:00	23194.61	23194.61	23150.32	23152.89	23345.68	23348.93	23176.30	150	149
2017-02-01 09:35:00	23202.21	23218.89	23186.50	23194.11	23349.73	23349.78	23175.44	150	149
2017-02-01 09:30:00	23206.82	23220.06	23167.66	23200.35	23352.91	23350.37	23174.35	150	149
2017-02-01 09:25:00	23211.88	23211.88	23211.88	23211.88	23356.05	23350.56	23173.23	150	149
2017-02-01 09:20:00	23211.88	23211.88	23211.88	23211.88	23359.04	23350.18	23172.05	136	149
2017-01-27 11:55:00	23379.83	23397.09	23376.95	23382.62	23362.06	23349.79	23170.87	150	150
2017-01-27 11:50:00	23375.92	23388.85	23372.11	23383.11	23361.64	23346.41	23168.83	150	150
2017-01-27 11:45:00	23377.12	23387.71	23369.65	23381.46	23361.32	23343.05	23166.80	150	150
2017-01-27 11:40:00	23383.35	23390.29	23371.96	23374.18	23361.11	23339.63	23164.77	150	150
