Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	HSI Index (Hong Kong Hang Seng Index) - #Ticks	SMAVG (15)
2017-08-01 15:55:00	27549.11	27557.81	27535.68	27546.66	27515.87	27424.15	27236.24	150	150
2017-08-01 15:50:00	27534.16	27549.44	27524.70	27543.35	27513.94	27421.16	27233.45	150	150
2017-08-01 15:45:00	27527.90	27535.55	27520.29	27533.51	27511.96	27418.13	27230.41	150	150
2017-08-01 15:40:00	27520.83	27534.09	27513.04	27527.48	27509.83	27415.41	27227.79	150	150
2017-08-01 15:35:00	27515.03	27520.14	27503.07	27516.24	27507.92	27412.52	27225.19	150	150
2017-08-01 15:30:00	27533.68	27533.68	27506.95	27512.85	27506.65	27409.13	27223.27	150	150
2017-08-01 15:25:00	27532.84	27539.40	27522.11	27532.05	27505.71	27405.88	27221.41	150	150
2017-08-01 15:20:00	27529.73	27536.99	27519.46	27532.25	27504.33	27402.45	27219.49	150	150
2017-08-01 15:15:00	27518.83	27534.69	27515.07	27523.80	27502.97	27398.88	27217.54	150	150
2017-08-01 15:10:00	27526.46	27529.98	27504.37	27518.48	27502.51	27395.41	27215.68	150	150
2017-08-01 15:05:00	27539.88	27546.14	27519.66	27527.47	27501.86	27391.84	27213.86	150	150
2017-08-01 15:00:00	27533.37	27544.38	27531.29	27540.07	27500.98	27388.08	27211.97	150	150
2017-08-01 14:55:00	27528.97	27546.22	27528.58	27534.23	27499.09	27384.26	27210.06	150	150
2017-08-01 14:50:00	27520.46	27532.58	27515.56	27525.54	27497.27	27380.50	27208.15	150	150
2017-08-01 14:45:00	27515.85	27524.21	27509.24	27513.67	27495.77	27376.90	27206.28	150	150
2017-08-01 14:40:00	27508.39	27525.34	27507.28	27515.55	27493.59	27373.42	27204.47	150	150
2017-08-01 14:35:00	27507.12	27515.03	27498.03	27508.22	27490.32	27369.94	27202.66	150	150
2017-08-01 14:30:00	27509.95	27519.37	27497.77	27508.66	27486.68	27366.61	27200.89	150	150
2017-08-01 14:25:00	27521.99	27527.07	27508.42	27510.49	27483.02	27363.23	27199.04	150	150
2017-08-01 14:20:00	27505.39	27527.93	27502.96	27519.90	27478.27	27359.92	27197.14	150	150
2017-08-01 14:15:00	27509.40	27520.45	27503.57	27505.34	27473.87	27356.54	27195.26	150	150
2017-08-01 14:10:00	27514.19	27522.82	27505.03	27508.22	27469.72	27353.24	27193.50	150	150
2017-08-01 14:05:00	27508.62	27520.34	27503.22	27512.75	27465.59	27349.72	27191.70	150	150
2017-08-01 14:00:00	27508.22	27518.85	27496.78	27510.16	27461.39	27346.03	27189.85	150	150
2017-08-01 13:55:00	27513.20	27517.92	27497.93	27507.08	27457.06	27342.17	27187.93	150	150
2017-08-01 13:50:00	27502.51	27518.59	27499.20	27514.01	27453.16	27338.32	27185.99	150	150
2017-08-01 13:45:00	27504.21	27509.10	27495.77	27503.25	27449.26	27334.48	27183.94	150	150
2017-08-01 13:40:00	27505.21	27507.40	27493.67	27499.73	27445.27	27330.70	27182.04	150	150
2017-08-01 13:35:00	27498.97	27506.38	27480.38	27503.31	27441.15	27327.02	27180.12	150	150
2017-08-01 13:30:00	27501.68	27503.70	27488.90	27495.16	27437.02	27323.09	27178.11	150	150
2017-08-01 13:25:00	27520.54	27528.22	27491.30	27504.00	27433.09	27319.02	27176.01	150	150
2017-08-01 13:20:00	27524.44	27531.51	27516.33	27525.33	27429.33	27314.85	27173.83	150	150
2017-08-01 13:15:00	27552.45	27558.00	27519.07	27522.70	27424.96	27310.62	27171.49	150	150
2017-08-01 13:10:00	27546.29	27551.18	27534.93	27549.33	27420.33	27306.54	27169.30	150	150
2017-08-01 13:05:00	27534.52	27549.30	27522.10	27544.14	27414.92	27302.48	27167.02	150	150
2017-08-01 13:00:00	27522.28	27541.11	27522.28	27534.52	27409.40	27297.52	27164.75	150	150
2017-08-01 11:55:00	27536.32	27536.32	27519.59	27525.97	27403.97	27292.66	27162.54	150	150
2017-08-01 11:50:00	27539.85	27542.34	27524.22	27536.32	27398.72	27287.21	27160.38	150	150
2017-08-01 11:45:00	27543.11	27556.98	27536.78	27540.57	27393.44	27281.73	27158.12	150	150
2017-08-01 11:40:00	27525.37	27549.84	27525.37	27543.34	27387.65	27276.25	27155.80	150	150
2017-08-01 11:35:00	27525.24	27534.54	27518.21	27526.18	27381.58	27270.56	27153.45	150	150
2017-08-01 11:30:00	27519.46	27524.45	27504.80	27523.80	27376.00	27265.16	27151.20	150	150
2017-08-01 11:25:00	27526.53	27529.76	27512.88	27519.34	27370.05	27259.82	27148.97	150	150
2017-08-01 11:20:00	27516.09	27541.42	27513.99	27530.42	27364.53	27254.60	27146.68	150	150
2017-08-01 11:15:00	27482.63	27516.46	27478.53	27516.31	27359.11	27249.26	27144.34	150	150
2017-08-01 11:10:00	27451.16	27484.94	27449.22	27478.43	27353.82	27244.01	27142.01	150	150
2017-08-01 11:05:00	27461.73	27464.26	27450.26	27451.29	27349.34	27239.13	27139.87	150	150
