Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	#Ticks	SMAVG (15)
2017-04-28 14:30:00	2204.73	2205.44	2204.67	2205.44	2206.20	2208.75	2206.87	4	28
2017-04-28 14:25:00	2204.92	2204.92	2204.92	2204.92	2206.29	2208.77	2206.87	30	30
2017-04-28 14:20:00	2204.92	2204.92	2204.92	2204.92	2206.37	2208.80	2206.87	30	30
2017-04-28 14:15:00	2203.83	2204.92	2202.20	2204.92	2206.45	2208.82	2206.88	30	30
2017-04-28 14:10:00	2204.87	2205.33	2203.41	2204.50	2206.53	2208.83	2206.89	30	30
2017-04-28 14:05:00	2205.35	2206.06	2204.40	2205.35	2206.62	2208.84	2206.90	30	30
2017-04-28 14:00:00	2204.82	2205.55	2204.16	2204.96	2206.75	2208.83	2206.90	30	30
2017-04-28 13:55:00	2205.51	2206.22	2203.53	2204.77	2206.89	2208.82	2206.91	30	30
2017-04-28 13:50:00	2204.78	2206.05	2204.21	2205.10	2207.04	2208.82	2206.92	30	30
2017-04-28 13:45:00	2204.40	2205.87	2204.07	2205.59	2207.23	2208.81	2206.93	30	30
2017-04-28 13:40:00	2205.88	2206.02	2203.73	2204.32	2207.37	2208.81	2206.94	30	30
2017-04-28 13:35:00	2205.44	2206.84	2205.10	2205.28	2207.56	2208.80	2206.95	30	30
2017-04-28 13:30:00	2206.68	2207.52	2205.45	2205.45	2207.73	2208.77	2206.96	30	30
2017-04-28 13:25:00	2204.91	2206.45	2204.34	2205.98	2207.90	2208.75	2206.97	30	30
2017-04-28 13:20:00	2204.83	2205.58	2203.97	2205.08	2208.05	2208.72	2206.97	30	30
2017-04-28 13:15:00	2206.13	2206.77	2204.29	2205.52	2208.23	2208.70	2206.98	30	30
2017-04-28 13:10:00	2204.55	2206.41	2204.31	2206.41	2208.41	2208.66	2206.98	30	30
2017-04-28 13:05:00	2204.40	2205.69	2204.00	2204.85	2208.56	2208.62	2206.98	30	30
2017-04-28 13:00:00	2203.98	2205.05	2203.41	2203.90	2208.76	2208.59	2207.00	30	30
2017-04-28 12:55:00	2204.70	2205.61	2204.14	2204.19	2208.96	2208.56	2207.00	30	30
2017-04-28 12:50:00	2205.65	2206.31	2205.01	2205.47	2209.18	2208.54	2206.99	30	30
