Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	Nikkei 225 - #Ticks	SMAVG (15)
2017-03-31 14:15:00	18909.26	18909.26	18909.26	18909.26	19109.39	19119.41	19155.02	1	17
2017-03-31 14:00:00	18909.26	18909.26	18909.26	18909.26	19114.66	19122.11	19156.35	1	19
2017-03-31 13:55:00	18954.80	18957.11	18919.52	18919.52	19119.88	19124.65	19157.66	20	20
2017-03-31 13:50:00	18980.42	18981.62	18962.25	18972.40	19125.02	19127.04	19158.94	20	20
2017-03-31 13:45:00	18998.64	19006.92	18982.03	19006.92	19129.26	19128.96	19159.96	20	20
2017-03-31 13:40:00	18972.78	18994.61	18960.08	18994.61	19132.29	19130.63	19160.81	20	20
2017-03-31 13:35:00	19010.70	19010.70	18953.81	18973.22	19135.90	19132.36	19161.72	20	20
2017-03-31 13:30:00	19037.82	19037.82	19012.35	19014.12	19139.83	19134.15	19162.74	20	20
2017-03-31 13:25:00	19039.81	19048.06	19036.01	19043.17	19143.20	19135.64	19163.54	20	20
2017-03-31 13:20:00	19021.51	19041.05	19021.51	19041.05	19145.66	19136.86	19164.19	20	20
2017-03-31 13:15:00	19042.33	19044.14	19013.38	19019.75	19148.14	19138.27	19164.87	20	20
2017-03-31 13:10:00	19040.56	19048.66	19040.56	19044.27	19150.72	19139.92	19165.69	20	20
2017-03-31 13:05:00	19034.15	19050.09	19034.15	19041.01	19153.15	19141.28	19166.35	20	20
2017-03-31 13:00:00	19069.71	19070.20	19032.93	19035.75	19155.84	19142.64	19167.04	20	20
2017-03-31 12:55:00	19077.93	19082.74	19066.64	19070.61	19158.49	19144.11	19167.71	20	20
2017-03-31 12:50:00	19077.38	19088.61	19074.14	19078.24	19158.34	19145.23	19168.23	20	20
2017-03-31 12:45:00	19076.95	19080.79	19072.42	19078.18	19158.04	19146.35	19168.75	20	20
2017-03-31 12:40:00	19112.39	19112.39	19071.50	19074.83	19157.66	19147.43	19169.25	20	20
2017-03-31 12:35:00	19129.05	19129.81	19105.90	19105.94	19157.44	19148.47	19169.86	20	19
2017-03-31 12:30:00	19131.30	19131.30	19126.29	19128.15	19156.66	19148.99	19170.29	20	17
2017-03-31 12:25:00	19142.72	19142.72	19127.48	19132.19	19155.31	19149.31	19170.66	20	17
2017-03-31 12:20:00	19144.26	19145.15	19135.32	19142.43	19153.78	19149.60	19170.96	20	17
2017-03-31 12:15:00	19154.71	19154.90	19143.44	19145.13	19152.01	19149.70	19171.16	20	17
2017-03-31 12:10:00	19157.24	19158.82	19153.82	19154.25	19150.22	19149.86	19171.42	20	17
2017-03-31 12:05:00	19158.88	19158.88	19152.03	19157.29	19148.01	19149.97	19171.60	20	17
2017-03-31 12:00:00	19156.24	19158.94	19153.20	19158.81	19145.94	19150.23	19171.76	20	17
2017-03-31 11:55:00	19148.00	19161.36	19147.76	19154.82	19143.94	19150.78	19171.91	20	17
2017-03-31 11:50:00	19155.47	19162.22	19148.02	19148.32	19142.04	19151.19	19172.08	20	17
2017-03-31 11:45:00	19172.13	19172.13	19149.23	19156.85	19140.62	19151.56	19172.28	20	17
2017-03-31 11:40:00	19172.76	19176.57	19170.62	19171.46	19139.59	19152.16	19172.38	20	17
2017-03-31 11:35:00	19177.01	19181.01	19167.52	19173.15	19138.38	19152.62	19172.42	20	17
2017-03-31 11:30:00	19174.59	19179.14	19170.96	19178.07	19137.73	19153.01	19172.43	20	17
2017-03-31 10:35:00	19188.83	19188.83	19188.83	19188.83	19137.04	19153.15	19172.35	1	17
2017-03-31 10:30:00	19188.83	19188.83	19188.83	19188.83	19136.00	19153.18	19172.20	1	19
2017-03-31 10:25:00	19195.25	19210.92	19190.38	19190.38	19134.88	19153.11	19172.07	20	20
2017-03-31 10:20:00	19177.24	19195.11	19177.24	19195.11	19133.67	19153.09	19171.91	20	20
2017-03-31 10:15:00	19168.05	19181.56	19168.05	19176.38	19132.44	19153.15	19171.71	20	20
2017-03-31 10:10:00	19168.15	19171.76	19166.97	19168.71	19132.07	19153.38	19171.62	20	20
2017-03-31 10:05:00	19169.36	19169.81	19166.33	19169.12	19131.72	19153.82	19171.49	20	20
2017-03-31 10:00:00	19155.25	19167.17	19152.90	19167.17	19131.29	19154.23	19171.40	20	20
2017-03-31 09:55:00	19155.56	19157.35	19150.02	19151.83	19130.96	19154.71	19171.24	20	20
2017-03-31 09:50:00	19161.00	19161.00	19146.43	19153.73	19130.86	19155.31	19171.13	20	20
2017-03-31 09:45:00	19173.48	19174.09	19161.53	19161.53	19131.00	19155.85	19171.03	20	20
2017-03-31 09:40:00	19170.57	19175.24	19170.57	19173.17	19130.80	19156.34	19171.00	20	20
2017-03-31 09:35:00	19176.95	19179.12	19168.52	19170.34	19130.37	19156.63	19170.95	20	20
2017-03-31 09:30:00	19173.44	19179.85	19173.44	19176.91	19130.25	19156.93	19170.97	20	20
2017-03-31 09:25:00	19175.48	19178.92	19172.26	19173.50	19129.76	19157.16	19171.00	20	20
2017-03-31 09:20:00	19185.27	19186.17	19175.99	19176.32	19129.69	19157.43	19171.09	20	20
2017-03-31 09:15:00	19170.67	19184.14	19164.43	19183.78	19129.56	19157.62	19171.20	20	20
2017-03-31 09:10:00	19172.30	19176.83	19165.77	19170.87	19129.26	19157.86	19171.25	20	20
