Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	#Ticks	SMAVG (15)
2017-10-31 15:00:00	3394.395	3394.503	3393.342	3393.342	3385.000	3385.296	3395.396	9	61
2017-10-31 14:55:00	3394.065	3395.213	3393.709	3394.091	3384.750	3385.282	3395.484	64	65
2017-10-31 14:50:00	3393.020	3394.396	3393.020	3393.865	3384.478	3385.262	3395.564	65	65
2017-10-31 14:45:00	3395.053	3395.833	3393.327	3393.666	3384.190	3385.243	3395.635	65	65
2017-10-31 14:40:00	3396.302	3397.078	3395.227	3395.869	3383.867	3385.227	3395.689	64	65
2017-10-31 14:35:00	3394.986	3397.099	3394.772	3396.495	3383.532	3385.189	3395.748	65	65
2017-10-31 14:30:00	3393.152	3394.690	3393.114	3394.580	3383.234	3385.144	3395.807	65	65
2017-10-31 14:25:00	3392.532	3394.011	3392.302	3393.873	3383.003	3385.119	3395.867	65	65
2017-10-31 14:20:00	3391.466	3392.896	3391.424	3392.554	3382.831	3385.100	3395.927	64	64
2017-10-31 14:15:00	3391.746	3392.752	3391.068	3391.148	3382.648	3385.095	3395.987	65	65
2017-10-31 14:10:00	3389.132	3391.895	3389.132	3391.251	3382.453	3385.104	3396.051	65	65
2017-10-31 14:05:00	3392.388	3393.043	3388.995	3388.995	3382.287	3385.111	3396.122	64	61
2017-10-31 14:00:00	3389.788	3393.599	3389.788	3393.027	3382.093	3385.145	3396.204	65	57
2017-10-31 13:55:00	3387.910	3390.172	3387.233	3389.564	3381.833	3385.121	3396.265	65	53
2017-10-31 13:50:00	3387.624	3389.079	3387.167	3388.270	3381.699	3385.132	3396.352	64	49
2017-10-31 13:45:00	3386.086	3388.236	3385.732	3388.236	3381.487	3385.109	3396.459	64	45
2017-10-31 13:40:00	3386.698	3387.405	3385.530	3386.146	3381.352	3385.042	3396.577	65	41
2017-10-31 13:35:00	3381.823	3387.159	3381.329	3387.023	3381.320	3385.005	3396.699	65	37
2017-10-31 13:30:00	3380.063	3381.806	3379.337	3381.666	3381.200	3384.949	3396.804	63	33
2017-10-31 13:25:00	3377.618	3379.760	3376.629	3379.461	3381.373	3384.907	3396.929	65	29
2017-10-31 13:20:00	3379.474	3379.474	3376.671	3376.854	3381.605	3384.889	3397.066	65	25
2017-10-31 13:15:00	3378.613	3379.885	3378.548	3378.891	3381.819	3384.900	3397.222	64	21
2017-10-31 13:10:00	3381.444	3381.583	3378.780	3379.596	3382.002	3384.891	3397.375	64	17
2017-10-31 13:05:00	3382.140	3382.141	3380.975	3380.975	3382.131	3384.877	3397.514	65	13
2017-10-31 13:00:00	3382.050	3383.706	3381.471	3381.786	3382.220	3384.809	3397.660	65	9
2017-10-31 12:55:00	3381.777	3381.777	3381.777	3381.777	3382.351	3384.761	3397.793	5	5
