Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	S&P 500 Index - #Ticks	SMAVG (15)
2017-02-01 05:10:00	2278.87	2278.87	2278.87	2278.87	2272.83	2273.08	2277.11	300	300
2017-02-01 05:05:00	2278.87	2278.87	2278.87	2278.87	2272.63	2273.06	2277.18	300	300
2017-02-01 05:00:00	2278.95	2278.96	2278.87	2278.87	2272.42	2273.04	2277.25	300	300
2017-02-01 04:55:00	2277.25	2279.09	2276.96	2278.98	2272.24	2273.01	2277.33	300	300
2017-02-01 04:50:00	2277.74	2277.95	2277.03	2277.25	2272.03	2272.97	2277.40	300	300
2017-02-01 04:45:00	2278.21	2279.03	2277.68	2277.68	2271.86	2272.94	2277.48	300	300
2017-02-01 04:40:00	2277.09	2278.37	2276.91	2278.12	2271.68	2272.91	2277.56	300	300
2017-02-01 04:35:00	2276.97	2277.46	2276.74	2277.09	2271.48	2272.87	2277.64	300	300
2017-02-01 04:30:00	2275.59	2277.18	2275.59	2276.99	2271.32	2272.83	2277.73	300	300
2017-02-01 04:25:00	2276.22	2276.41	2275.55	2275.58	2271.21	2272.79	2277.81	300	300
2017-02-01 04:20:00	2275.25	2276.53	2275.25	2276.22	2271.12	2272.75	2277.91	300	300
2017-02-01 04:15:00	2275.98	2276.18	2275.06	2275.25	2271.03	2272.71	2278.00	300	300
2017-02-01 04:10:00	2274.59	2275.97	2274.49	2275.97	2270.94	2272.68	2278.10	300	300
2017-02-01 04:05:00	2274.50	2274.78	2274.33	2274.57	2270.84	2272.64	2278.20	300	300
2017-02-01 04:00:00	2273.59	2275.24	2273.59	2274.50	2270.74	2272.62	2278.30	300	300
2017-02-01 03:55:00	2273.23	2273.73	2272.97	2273.59	2270.64	2272.61	2278.39	300	300
2017-02-01 03:50:00	2273.17	2273.50	2273.00	2273.24	2270.55	2272.60	2278.49	300	300
2017-02-01 03:45:00	2272.65	2273.20	2272.23	2273.20	2270.49	2272.60	2278.59	300	300
2017-02-01 03:40:00	2271.34	2272.64	2271.33	2272.62	2270.48	2272.60	2278.69	300	300
2017-02-01 03:35:00	2269.90	2271.35	2269.83	2271.33	2270.49	2272.62	2278.80	300	300
2017-02-01 03:30:00	2270.84	2270.87	2269.76	2269.91	2270.49	2272.64	2278.91	300	300
2017-02-01 03:25:00	2270.21	2270.91	2270.21	2270.86	2270.55	2272.67	2279.03	300	300
2017-02-01 03:20:00	2269.34	2270.30	2269.34	2270.22	2270.59	2272.69	2279.15	300	300
2017-02-01 03:15:00	2269.02	2269.79	2268.98	2269.35	2270.60	2272.71	2279.26	300	300
2017-02-01 03:10:00	2268.65	2269.36	2268.42	2269.01	2270.63	2272.75	2279.38	300	300
2017-02-01 03:05:00	2268.63	2269.01	2268.17	2268.65	2270.63	2272.79	2279.50	300	300
2017-02-01 03:00:00	2268.83	2269.43	2268.39	2268.63	2270.72	2272.83	2279.61	300	300
2017-02-01 02:55:00	2269.25	2269.56	2268.48	2268.83	2270.79	2272.89	2279.74	300	300
2017-02-01 02:50:00	2269.70	2270.19	2269.07	2269.26	2270.91	2272.95	2279.86	300	300
2017-02-01 02:45:00	2270.82	2270.84	2269.53	2269.71	2271.02	2273.00	2279.99	300	300
2017-02-01 02:40:00	2271.62	2271.68	2270.65	2270.83	2271.14	2273.05	2280.11	300	300
2017-02-01 02:35:00	2271.66	2271.89	2271.13	2271.62	2271.21	2273.09	2280.22	300	300
2017-02-01 02:30:00	2271.92	2272.48	2271.64	2271.64	2271.40	2273.11	2280.33	300	300
2017-02-01 02:25:00	2271.54	2271.92	2271.25	2271.92	2271.58	2273.15	2280.45	300	300
2017-02-01 02:20:00	2270.14	2271.44	2270.01	2271.44	2271.76	2273.17	2280.55	300	300
2017-02-01 02:15:00	2269.82	2270.39	2269.68	2270.14	2271.94	2273.21	2280.67	300	300
2017-02-01 02:10:00	2271.71	2271.71	2269.51	2269.82	2272.13	2273.24	2280.78	300	300
2017-02-01 02:05:00	2271.38	2271.70	2271.25	2271.70	2272.31	2273.28	2280.91	300	300
2017-02-01 02:00:00	2272.14	2272.26	2271.15	2271.37	2272.42	2273.28	2281.02	300	300
2017-02-01 01:55:00	2272.21	2272.25	2271.81	2272.14	2272.50	2273.28	2281.14	300	300
2017-02-01 01:50:00	2272.11	2272.61	2272.05	2272.21	2272.59	2273.28	2281.25	300	300
2017-02-01 01:45:00	2272.69	2272.69	2272.10	2272.10	2272.64	2273.29	2281.36	300	300
2017-02-01 01:40:00	2271.44	2272.86	2271.34	2272.69	2272.69	2273.30	2281.48	300	300
2017-02-01 01:35:00	2271.54	2271.73	2271.38	2271.44	2272.73	2273.29	2281.60	300	300
2017-02-01 01:30:00	2271.87	2272.21	2271.35	2271.54	2272.80	2273.27	2281.73	300	300
2017-02-01 01:25:00	2271.69	2272.28	2271.68	2271.86	2272.86	2273.25	2281.85	300	300
2017-02-01 01:20:00	2271.42	2272.15	2271.41	2271.70	2272.93	2273.22	2281.98	300	300
2017-02-01 01:15:00	2270.63	2271.85	2270.45	2271.45	2273.03	2273.20	2282.10	300	300
2017-02-01 01:10:00	2269.99	2270.80	2269.73	2270.64	2273.11	2273.20	2282.23	300	300
2017-02-01 01:05:00	2268.69	2270.07	2268.64	2269.99	2273.21	2273.21	2282.36	300	300
2017-02-01 01:00:00	2268.58	2269.25	2268.58	2268.70	2273.33	2273.24	2282.49	300	300
2017-02-01 00:55:00	2269.66	2269.80	2268.46	2268.60	2273.49	2273.29	2282.63	300	300
2017-02-01 00:50:00	2268.45	2269.69	2268.40	2269.65	2273.66	2273.33	2282.77	300	300
2017-02-01 00:45:00	2268.99	2269.19	2268.15	2268.44	2273.79	2273.34	2282.91	300	300
2017-02-01 00:40:00	2268.69	2269.22	2268.34	2268.97	2273.92	2273.39	2283.05	300	300
2017-02-01 00:35:00	2267.85	2268.84	2267.21	2268.67	2274.03	2273.45	2283.19	300	300
2017-02-01 00:30:00	2269.44	2270.16	2267.65	2267.91	2274.14	2273.53	2283.33	300	300
2017-02-01 00:25:00	2271.41	2271.41	2269.39	2269.39	2274.27	2273.61	2283.47	300	300
2017-02-01 00:20:00	2271.24	2271.57	2270.91	2271.40	2274.34	2273.68	2283.61	300	300
2017-02-01 00:15:00	2271.75	2272.29	2271.02	2271.22	2274.36	2273.72	2283.74	300	300
2017-02-01 00:10:00	2270.72	2271.91	2270.72	2271.67	2274.37	2273.78	2283.87	300	300
2017-02-01 00:05:00	2270.72	2271.66	2270.67	2270.73	2274.39	2273.87	2284.01	300	300
2017-02-01 00:00:00	2269.88	2270.74	2269.47	2270.71	2274.42	2273.99	2284.14	300	300
2017-01-31 23:55:00	2269.65	2270.53	2269.28	2269.85	2274.45	2274.23	2284.28	300	300
2017-01-31 23:50:00	2269.09	2270.17	2268.82	2269.64	2274.51	2274.48	2284.42	300	300
2017-01-31 23:45:00	2270.12	2271.10	2269.10	2269.10	2274.58	2274.73	2284.57	300	300
2017-01-31 23:40:00	2272.51	2272.54	2270.12	2270.14	2274.65	2274.98	2284.71	300	300
2017-01-31 23:35:00	2273.38	2274.31	2272.51	2272.51	2274.70	2275.21	2284.84	300	300
2017-01-31 23:30:00	2271.54	2273.47	2271.54	2273.39	2274.72	2275.41	2284.96	300	300
2017-01-31 23:25:00	2272.73	2273.72	2271.28	2271.39	2274.75	2275.60	2285.08	300	300
2017-01-31 23:20:00	2272.67	2274.11	2272.66	2272.78	2274.78	2275.81	2285.21	300	300
2017-01-31 23:15:00	2270.73	2272.82	2270.73	2272.66	2274.79	2276.00	2285.33	300	300
