Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	Volume	SMAVG (15)
2017-02-28 15:00:00	2001.322	2001.322	2001.322	2001.322	1995.315	1996.374	1994.086	239333	297018
2017-02-28 14:55:00	2000.068	2000.898	2000.068	2000.898	1995.207	1996.363	1994.011	270600	297346
2017-02-28 14:50:00	1998.356	2000.041	1998.284	2000.025	1995.000	1996.325	1993.937	553630	295939
2017-02-28 14:45:00	1997.088	1998.374	1997.008	1998.374	1994.776	1996.325	1993.873	418811	277333
2017-02-28 14:40:00	1995.511	1997.165	1995.374	1997.165	1994.584	1996.358	1993.821	378570	265272
2017-02-28 14:35:00	1995.212	1995.425	1994.958	1995.425	1994.410	1996.390	1993.787	308634	255878
2017-02-28 14:30:00	1996.064	1996.085	1995.223	1995.243	1994.258	1996.438	1993.768	273830	250010
2017-02-28 14:25:00	1994.912	1996.104	1994.848	1996.104	1994.192	1996.484	1993.744	274539	245882
2017-02-28 14:20:00	1993.236	1994.969	1993.200	1994.969	1994.115	1996.525	1993.715	247055	240544
2017-02-28 14:15:00	1992.710	1993.252	1992.687	1993.252	1994.048	1996.576	1993.692	221222	235156
2017-02-28 14:10:00	1991.811	1992.775	1991.573	1992.706	1993.948	1996.634	1993.675	265258	236838
2017-02-28 14:05:00	1993.783	1993.783	1991.836	1991.836	1993.908	1996.695	1993.658	278228	219260
2017-02-28 14:00:00	1994.091	1994.156	1993.581	1993.757	1993.905	1996.774	1993.638	242258	200729
2017-02-28 13:55:00	1994.430	1994.638	1994.024	1994.042	1993.862	1996.844	1993.604	240783	199280
2017-02-28 13:50:00	1995.005	1995.134	1994.327	1994.478	1993.898	1996.898	1993.569	242514	199233
2017-02-28 13:45:00	1996.165	1996.217	1995.064	1995.072	1993.918	1996.939	1993.536	244252	195437
2017-02-28 13:40:00	1996.223	1996.339	1995.973	1996.147	1993.913	1996.959	1993.504	249501	192090
2017-02-28 13:35:00	1996.078	1996.138	1995.386	1996.074	1993.890	1996.978	1993.444	274537	191673
2017-02-28 13:30:00	1997.241	1997.255	1996.058	1996.078	1993.927	1997.002	1993.382	237905	188704
2017-02-28 13:25:00	1996.488	1997.361	1996.480	1997.221	1993.957	1996.983	1993.327	237653	188040
2017-02-28 13:20:00	1995.332	1996.390	1995.332	1996.390	1993.958	1996.953	1993.270	220617	191387
2017-02-28 13:15:00	1996.376	1996.459	1995.263	1995.347	1993.972	1996.932	1993.218	211904	197207
2017-02-28 13:10:00	1996.580	1996.580	1996.119	1996.342	1994.013	1996.935	1993.177	194479	206612
2017-02-28 13:05:00	1997.035	1997.079	1996.478	1996.559	1994.083	1996.934	1993.130	166222	214483
2017-02-28 13:00:00	1997.914	1998.080	1997.053	1997.053	1994.140	1996.937	1993.083	246452	222634
2017-02-28 12:55:00	1997.625	1997.625	1997.625	1997.625	1994.204	1996.932	1993.027	1590	228069
2017-02-28 11:30:00	1997.618	1997.618	1997.618	1997.618	1994.269	1996.914	1992.963	264	252619
2017-02-28 11:25:00	1996.609	1997.637	1996.609	1997.637	1994.338	1996.895	1992.906	220533	279946
2017-02-28 11:20:00	1994.480	1996.580	1994.480	1996.573	1994.395	1996.885	1992.848	240075	293979
2017-02-28 11:15:00	1994.089	1994.577	1993.816	1994.479	1994.471	1996.886	1992.797	185574	305811
2017-02-28 11:10:00	1993.918	1994.276	1993.844	1994.122	1994.590	1996.906	1992.746	194041	324140
2017-02-28 11:05:00	1993.553	1994.558	1993.553	1993.941	1994.726	1996.929	1992.694	243250	340713
2017-02-28 11:00:00	1992.945	1993.573	1992.891	1993.513	1994.887	1996.954	1992.637	229994	354296
2017-02-28 10:55:00	1993.349	1993.487	1992.699	1993.016	1995.064	1996.974	1992.578	227953	374500
2017-02-28 10:50:00	1991.012	1993.316	1991.012	1993.304	1995.266	1996.987	1992.521	287855	393522
2017-02-28 10:45:00	1989.263	1991.033	1989.261	1990.937	1995.469	1996.989	1992.462	307913	410772
2017-02-28 10:40:00	1990.439	1990.464	1989.145	1989.336	1995.716	1997.017	1992.415	352990	437028
2017-02-28 10:35:00	1992.434	1992.465	1990.464	1990.464	1995.967	1997.064	1992.370	312532	420011
2017-02-28 10:30:00	1993.533	1993.648	1992.462	1992.462	1996.189	1997.091	1992.313	288493	414948
2017-02-28 10:25:00	1992.754	1993.720	1992.732	1993.492	1996.363	1997.084	1992.239	327985	413868
2017-02-28 10:20:00	1992.837	1992.918	1992.479	1992.764	1996.528	1997.052	1992.171	369828	432069
2017-02-28 10:15:00	1993.077	1993.077	1992.406	1992.894	1996.695	1997.050	1992.117	410178	442084
2017-02-28 10:10:00	1995.013	1995.040	1993.036	1993.036	1996.828	1997.051	1992.067	431023	436355
2017-02-28 10:05:00	1995.429	1995.500	1994.946	1995.062	1996.934	1997.054	1992.015	417555	428866
2017-02-28 10:00:00	1997.022	1997.037	1995.459	1995.485	1997.005	1997.046	1991.950	460506	427831
2017-02-28 09:55:00	1997.148	1998.069	1996.955	1997.077	1997.079	1997.014	1991.880	442636	425846
